state,food,lat,lon
AL,0,32.318231,-86.902298
AK,0,63.588753,-154.493062
AZ,7,34.048928,-111.093731
AR,0,35.20105,-91.831833
CA,17,36.778261,-119.417932
CO,2,39.550051,-105.782067
CT,0,41.603221,-73.087749
DE,0,38.910832,-75.52767
DC,2,38.905985,-77.033418
FL,0,27.664827,-81.515754
GA,1,32.157435,-82.907123
HI,1,19.898682,-155.665857
ID,2,44.068202,-114.742041
IL,0,40.633125,-89.398528
IN,0,40.551217,-85.602364
IA,0,41.878003,-93.097702
KS,0,39.011902,-98.484246
KY,0,37.839333,-84.270018
LA,0,31.244823,-92.145024
ME,0,45.253783,-69.445469
MD,1,39.045755,-76.641271
MA,0,42.407211,-71.382437
MI,5,44.314844,-85.602364
MN,0,46.729553,-94.6859
MS,0,32.354668,-89.398528
MO,0,37.964253,-91.831833
MT,0,46.879682,-110.362566
NE,0,41.492537,-99.901813
NV,0,38.80261,-116.419389
NH,4,43.193852,-71.572395
NJ,0,40.058324,-74.405661
NM,5,34.97273,-105.032363
NY,0,43.299428,-74.217933
NC,1,35.759573,-79.0193
ND,3,47.551493,-101.002012
OH,0,40.417287,-82.907123
OK,0,35.007752,-97.092877
OR,0,43.804133,-120.554201
PA,0,41.203322,-77.194525
RI,0,18.220833,-66.590149
SC,0,41.580095,-71.477429
SD,0,33.836081,-81.163725
TN,0,43.969515,-99.901813
TX,1,35.517491,-86.580447
UT,0,31.968599,-99.901813
VT,14,39.32098,-111.093731
VA,0,44.558803,-72.577841
WA,0,37.431573,-78.656894
WV,1,47.751074,-120.740139
WI,0,38.597626,-80.454903
WY,0,43.78444,-88.787868
,,43.075968,-107.290284
