state,rate
Alabama,3.5
Alaska,5.6
Arizona,5.5
Arkansas,4.8
California,5.3
Colorado,4.5
Connecticut,3.7
Delaware,5.1
District of Columbia,6
Florida,4.3
Georgia,4.2
Hawaii,2.6
Idaho,2.6
Illinois,4.6
Indiana,3.2
Iowa,3.7
Kansas,3.1
Kentucky,5.8
Louisiana,6.9
Maine,3.2
Maryland,3.3
Massachusetts,2.9
Michigan,4.1
Minnesota,3.1
Mississippi,5.3
Missouri,4.5
Montana,3.5
Nebraska,4.2
Nevada,6.3
New Hampshire,2.6
New Jersey,3.8
New Mexico,5.9
New York,4.5
North Carolina,4.4
North Dakota,2.2
Ohio,5.5
Oklahoma,3.1
Oregon,3.3
Pennsylvania,6
Rhode Island,4.6
South Carolina,2.6
South Dakota,3.3
Tennessee,3.5
Texas,4.7
Utah,3.6
Vermont,3.2
Virginia,3.3
Washington,5.1
West Virginia,6.1
Wisconsin,3.4
Wyoming,3.7
